type,system,name,start_day,end_day,day,index,season,weekday,region,notes,,,,
month,jerbeen,Buck-Rut,169,196,,7,Autumn,,The Shade Briar,Large herbivores clash territorially,threatening the outer briar walls.,,,
month,jerbeen,Boar-Root,197,224,,8,Autumn,,The Shade Briar,Omnivores forage aggressively for tubers. Subterranean crops must be harvested quickly.,,,,
month,jerbeen,Wolf-Prowl,225,252,,9,Autumn,,The Shade Briar,Prey thins out,and pack-hunting predators test the defensive weave.,,,
month,jerbeen,Den-Seal,253,280,,10,Winter,,The Shade Briar,Large predators hibernate,easing structural threats to the Briar.,,,
month,jerbeen,Ermine-Stalk,281,308,,11,Winter,,The Shade Briar,The most dangerous month. Winter-adapted burrowing predators actively hunt in the tunnels.,,,,
month,jerbeen,Raven-Call,309,336,,12,Winter,,The Shade Briar,Scavengers dominate the canopy. Their calls act as an auditory early-warning system.,,,,
month,jerbeen,Still-Wood,337,364,,13,Winter,,The Shade Briar,Deep winter quiet. Strict caloric conservation and interior communal labor.,,,,
month,common,Dawnrise,1,30,,1,Spring,,Pan-Regional,The first month of the year,tracking the melting snows and the initial clearing of major trade routes.,,,
month,common,Gladmer,31,60,,2,Spring,,Pan-Regional,Month of planting and heavy rains. Named for the historic floodplains where early human agriculture stabilized.,,,,
month,common,Seedfall,61,90,,3,Spring,,Pan-Regional,Late spring blooming period,characterized by high winds and pollen drift.,,,
month,common,Sunward,91,120,,4,Summer,,Pan-Regional,Marks the beginning of the summer solstice cycle and the longest days of the year.,,,,
month,common,Highcrest,121,150,,5,Summer,,Pan-Regional,Peak summer heat. Rivers run low,and cross-country travel is typically done at dawn or dusk.,,,
month,common,Goldleaf,151,180,,6,Summer,,Pan-Regional,Late summer transition as the intense heat breaks and leaves begin to dry.,,,,
month,common,Harvestide,181,210,,7,Autumn,,Pan-Regional,The primary agricultural harvest. Guilds heavily tax and inventory regional yields.,,,,
month,common,Hearthfire,211,240,,8,Autumn,,Pan-Regional,The first frosts arrive. Populations move indoors and rural settlements reinforce their structures.,,,,
month,common,Frostgate,241,270,,9,Winter,,Pan-Regional,Mountain passes fill with snow,sealing off overland trade routes.,,,
month,common,Deeprime,271,300,,10,Winter,,Pan-Regional,Mid-winter. The ground freezes solid,and travel is largely restricted to immediate regional networks.,,,
month,common,Gloaming,301,330,,11,Winter,,Pan-Regional,The darkest and coldest month. Social activity drops significantly; focus is on rationing.,,,,
month,common,Endmark,331,360,,12,Winter,,Pan-Regional,The final standard month. Preparations begin for the spring thaw and the unblocking of roads.,,,,
month,common,The Convergence,361,364,,13,Festival,,Pan-Regional,A 4-day intercalary period outside the standard 12 months,aligning with the final four days of the Jerbeen year.,,,
holiday,jerbeen,The Emergence,,,1,,,Tunnel-Tend / Firstlight,The Shade Briar,Following the strict 5-day cycle of cultivating and rinsing subterranean sprout mixes during winter,this day marks a return to high-protein surface foraging in the lower brush. Burrowers harvest fresh beetle grubs and tender shoots,sharing a communal meal in the central warren to restore muscle mass for spring tunnel-boring.,,
holiday,jerbeen,The Bedrock-Listen,,,14,,,Deep-Still / Stillwane,The Shade Briar,A mandatory defensive audit where listeners place their ears directly against deep tunnel stone to detect seismic fracturing or clawing vibrations from the abyss. Galleries showing stress fractures or rock shifts are immediately reinforced with cured greenwood braces.,,,,
holiday,common,Isenbyr's Lament,,,14,,,Deep-Still / Stillwane,Mϋϋr & Fracture Perimeter,Marks the catastrophic tearing of the Great Fracture at the dwarven settlement of Isenbyr 2,022 years ago. Dwarven citadels ring solemn low-register bells and inspect deep structural bedrock anchors,while perimeter garrisons at Hackett's Watch,Gorns Rest,and Tel'ren's Ridge hold silent roll calls for fallen settlements.
holiday,jerbeen,The High Weave,,,42,,,Deep-Still / Stillwane,The Shade Briar,A mandatory day of communal labor commemorating the 9th Shift when raptors breached the outer thickets. Adult Jerbeens interlock fresh thorny hawthorn runners into the canopy to bolster structural integrity against nesting predators. Aligns directly with the Common calendar's Gladmer's Stand.,,,,
holiday,common,Gladmer's Stand,,,42,,,Deep-Still / Stillwane,The Hearthlands & Kurst,Commemorates a historic victory over monstrous incursions on the Gladmer floodplains through rigid cooperative militia tactics and long-range throwing spears. Celebrated with disciplined spear drills in municipal plazas followed by feasts of heavily spiced roasted mutton and peppered river-pike.,,,,
holiday,common,Lyestra's Fall,,,56,,,Deep-Still / Stillwane,Mϋϋr & Gorns Rest,Commemorates the descent and sacrifice of the dwarven mother-goddess Lyestra in the Black Castle during the fourth year of the Demon War. Citadels extinguish all forge fires for 24 hours in cold mourning,whereas in secular Gorns Rest,smiths present polished unworked iron ingots at open-air memorial plinths.,,
holiday,common,The Canopy Chorus,,,75,,,Ear-Turn / Hearthday,Kel'dorel,An ancient elven tradition centered in Salins Cove and Silver Grove marking the day ancestral forests were sung into existence. Minstrels and bards from the Emerald Palace suspend enchanted glass chimes from elder branches to harmonize with dawn breezes; felling living timber on this day carries severe legal fines.,,,,
holiday,jerbeen,The Proving,,,77,,,Deep-Still / Stillwane,The Shade Briar,Maturity rite for five-year-old Jerbeens. Initiates must map the outer perimeter thickets with absolute stealth and speed,avoiding predator dens and managing stamina to evade hunting foxes; those returning before nightfall receive their first carved cord-bead.,,,
holiday,common,Watcher's Muster,,,84,,,Deep-Still / Stillwane,Kurst,Marks the historical banishment of High Priest Corvaunus Hackett and the garrisoning of Hackett's Line. Magistrates across Kurst audit penal registers in Kurstenport,marching newly sentenced convicts to Hackett's Watch to work off sentences at triple speed in indentured frontline companies against Fracture fiends.,,,
holiday,jerbeen,The Still-Tread,,,98,,,Deep-Still / Stillwane,The Shade Briar,Observed during heavy surface herbivore migrations overhead. Structural vibrations are monitored continuously and all non-essential movement and heavy digging are forbidden for 24 hours to prevent cave-ins and avoid acoustic detection.,,,,
holiday,common,The Silver Ascent,,,106,,,Tunnel-Tend / Firstlight,Kel'dorel,The wood elves of Silver Grove inaugurate the summer hunting season with a mass aerial muster of the Silver Riders. Mounted handlers cast silver pollen across the 150-foot canopy of the Highwood to ward against arboreal predators and bless young wyvern clutches.,,,,
holiday,jerbeen,The Root-Chill,,,126,,,Deep-Still / Stillwane,The Shade Briar,Peak summer heat drives cold-blooded reptiles downward toward cool burrow roots. Jerbeen crews pump damp bog-clay through ceiling vents and burn dried bitter-leaf to smoke basking vipers out of primary living galleries.,,,,
holiday,common,The Triad Conclave,,,132,,,Kin-Gather / Marketmoot,The Eye of Evil,Storms Rift commemorates the rule of its governing dragon triad—metallic,chromatic,and gem. Dragonborn mercenary companies muster in public arenas to renew corporate contracts,while arcane academies host resonance trials to test innate sorcerous lineages.,
holiday,common,The Obsidian Accord,,,154,,,Deep-Still / Stillwane,The Eye of Evil,Commemorates the emergence of the archdemon Yamuuk at the Eye of Evil crater and his defection against Azar'och. Sangromancers of Maelstrom Keep drink consecrated spiced vitriol before obsidian shrines,while neighboring trade caravans double their outrider escorts and bypass the eastern crater road.,,,
holiday,jerbeen,The Cinder Feast,,,168,,,Deep-Still / Stillwane,The Shade Briar,Commemorates the 4th Shift preservation of burrow cisterns. The community inspects broad-leaf water-catchment basins,dries late-summer berries over smothered hearth embers,and trims perimeter briars before nocturnal owl populations reach peak hunting efficiency.,,
holiday,common,The Opal Bout,,,174,,,Kin-Gather / Marketmoot,Kurst,The Opal Conservatoire in Kurstenport hosts its annual graduation martial tourney. Elite duelists and master tacticians compete in public amphitheaters while noble houses,merchant cartels,and mercenary captains bid heavily on officer retainer commissions.,,
holiday,jerbeen,The Horn-Brace,,,182,,,Deep-Still / Stillwane,The Shade Briar,Clashing rutting stags in the brush above threaten shallow tunnel ceilings. Jerbeen digging crews drive dense hardwood reinforcement stakes into perimeter roofs and pack clay-bound gravel over high-stress support arches to absorb violent ground shocks.,,,,
holiday,jerbeen,The Iron-Break,,,196,,,Deep-Still / Stillwane,The Shade Briar,Commemorates the historical cessation of upper surface quakes caused by the war against the Black Castle. Burrow artisans re-carve worn directional glyphs into bedrock passageways and distribute an extra ladle of roasted root mash.,,,,
holiday,common,Gorn's Triumph,,,196,,,Deep-Still / Stillwane,Pan-Regional & Frontier,Celebrates the slaying of Azar'och and the apotheosis of Gorn Shattersteel at the Black Castle,ending the twenty-year Demon War. In Gorns Rest and frontier settlements,citizens shatter symbolic iron chains,hold weapon-blessing tournaments,and tap barrels of dark stout.
holiday,jerbeen,The Deep Harvest,,,206,,,Forage-Wide / Anvilday,The Shade Briar,A highly coordinated round-the-clock agricultural effort to extract cultivated tubers and roots from outer plots before rooting boar packs destroy the yield; crops are cleaned and packed in dry sand within deep storage vaults.,,,,
holiday,common,The Grand Bake,,,210,,,Deep-Still / Stillwane,The Hearthlands & Pan-Regional,Originating from halfling agrarian traditions in the Hearthlands,public thoroughfares host continuous 24-hour communal brick ovens. Neighborhoods freely bake and distribute breads,pastries,and hardtack,acting as a regional economic reset to eliminate food hoarding before winter.
holiday,common,Strider's Rite,,,231,,,Deep-Still / Stillwane,Kurst,Frost elf initiates in Korin'bel plunge into glacial melt pools under elder incantations to affirm cold-hardened vitality before taking their oaths as Strider rangers. Human lords send recruitment envoys bearing silver and high-grade steel to contract elite winter scouts.,,,,
holiday,common,The All-Forge,,,241,,,Forage-Wide / Anvilday,Mϋϋr & Pan-Regional,Marks the dwarven sealing of mountain citadels and the rekindling of subterranean deep-magma crucibles. Surface cities honor this by simultaneously extinguishing and reigniting public hearths from smithy coals,followed by municipal heating inspections.,,,
holiday,jerbeen,The Barricade,,,252,,,Deep-Still / Stillwane,The Shade Briar,As winter predator packs begin roving,outer entrances to the Shade Briar are physically sealed with woven thorn-faggots and packed clay; the warren enters seasonal isolation,maintaining only concealed watch-holes.,,
holiday,common,The Blood Crusade,,,263,,,Thorn-Weave / Crossway,The Eye of Evil & Fracture,Maelstrom Keep dispatches its triennial capture-companies into the Fracture to hunt live fiends for sacrificial offering to Yamuuk. Surrounding farming hamlets bolt their shutters and hold livestock within inner enclosures until the black-armored crusaders return westward.,,,,
holiday,jerbeen,The Silent Vigil,,,287,,,Deep-Still / Stillwane,The Shade Briar,A solemn 24-hour period of absolute acoustic silence memorializing the lost warrens of the 1st Shift and evading detection by winter-stalking ermines; all forge work and speaking are suspended in favor of paw-sign communication.,,,,
holiday,common,The Free Charter,,,294,,,Deep-Still / Stillwane,The Hearthlands,Towns along Moonlit Harbour hold open municipal elections,casting colored porcelain tokens into public urns to seat town councils free from kingdom authority. Veteran coastal militias muster at the piers,firing signal flares over the bay to deter offshore pirate syndicates.,,
holiday,common,Westfall,,,314,,,Kin-Gather / Marketmoot,Western Sea,Free ports across Last Light Island throw raucous open-cask carnivals to celebrate the final rays of winter sun touching Cyrnn's westernmost cliffs. Deep within the island's interior jungles,Yuan-Ti temple-keepers conduct quiet obsidian-blade rituals in total isolation from the revelry.,,,
holiday,jerbeen,The Echo-Listen,,,322,,,Deep-Still / Stillwane,The Shade Briar,Lookouts sit at hollowed root trumpets to listen for scavenger birds in the frozen canopy above. Jerbeen scout masters transcribe raven flocking patterns to pinpoint where wolf packs and wandering beasts are moving on the snowpack.,,,,
holiday,common,The Sapphire Concourse,,,336,,,Deep-Still / Stillwane,Frostlands,Gnomes,Goliaths,and Orcs gather at Cobalt Citadel to commemorate their unified founding. Arcane academies illuminate the city's sapphire-tipped silver spires with synced magical beacons,while guilds unveil new civic engineering mechanisms.,
holiday,common,The Absent Vigil,,,350,,,Deep-Still / Stillwane,Kurst & Pan-Regional,Human clerics and paladins of Boralius douse all altar flames and conduct silent,unguided meditation to reflect upon their god's intentional absence during the Demon War. Communities focus entirely on present worldly responsibilities,repairing municipal tools and settling neighborhood disputes without invoking divine aid.,,
holiday,common,The Remembrance,,,361,,,Thorn-Weave / Crossway,Pan-Regional,Convergence Day 1. A somber day dedicated to settling ledgers and honoring ancestors. All debts accumulated over the 360-day year must be legally cleared or renegotiated before sundown,while memorial lanterns are placed on ancestral graves.,,,
holiday,common,The Revelry,,,362,,,Ear-Turn / Hearthday,Pan-Regional,Convergence Day 2. A day of absolute,legally sanctioned civic excess where public intoxication and sumptuary laws are temporarily suspended,sharply contrasting with the quiet caloric conservation occurring simultaneously in the Shade Briar.,,
holiday,common,The Concord,,,363,,,Kin-Gather / Marketmoot,Pan-Regional,Convergence Day 3. Celebrates the historic signing of the Concordant Treaty between humans,elves,and dwarves. Treaties are formally renewed,guild leadership structures are finalized,and civic oaths are administered for the upcoming year.
holiday,jerbeen,The Ceding,,,364,,,Deep-Still / Stillwane,The Shade Briar,Administrative planning for Spring where elders balance winter stores and assign tunnel shifts. Once every 40 years on the Elder Shift,a master-carver attaches a dense ironwood bead to the Great Briar Cord summarizing four decades of communal survival.,,,
holiday,common,The Dawning Eve,,,364,,,Deep-Still / Stillwane,Pan-Regional,Convergence Day 4. A transitional day of thorough purification and sweeping of homes and municipal halls. At midnight,synchronized bells,horns,and temple carillons sound across all surface settlements to welcome the new year.,
